	ID	POEM_NUMBER	POEM	STANZA	LINE_ORDER	LINE_IN_SOURCE	LINE	ALIGNMENT	RHYME	RHYME_WORD	RHYMEIDS	VOWEL
6672	6987	282	雝	282.1	5	相維辟a公	相 + 維 + 辟 + 公	相 + 維 + 辟 + 公	282.1.a	公	0 0 0 1631	o
6678	6994	282	雝	282.1	12	宣哲維e人	宣 + 哲 + 維 + 人	宣 + 哲 + 維 + 人	282.1.e	人	0 0 0 1635	i
6686	7002	283	載見	283.1	1	載見辟a王	載 + 見 + 辟 + 王	載 + 見 + 辟 + 王	283.1.a	王	0 0 0 1639	a
6687	7003	283	載見	283.1	2	曰求厥a章	曰 + 求 + 厥 + 章	曰 + 求 + 厥 + 章	283.1.a	章	0 0 0 1639	a
6688	7004	283	載見	283.1	3	龍旂陽a陽	龍 + 旂 + 陽 + 陽	龍 + 旂 + 陽 + 陽	283.1.a	陽	0 0 0 1639	a
6689	7005	283	載見	283.1	4	和鈴a央a央	和 + 鈴 + 央 + 央	和 + 鈴 + 央 + 央	283.1.a	央	0 0 1639 1639	a
6691	7008	283	載見	283.1	7	休有烈a光	休 + 有 + 烈 + 光	休 + 有 + 烈 + 光	283.1.a	光	0 0 0 1639	a
6693	7010	283	載見	283.1	9	以考以a享	以 + 考 + 以 + 享	以 + 考 + 以 + 享	283.1.a	享	0 0 0 1639	a
6697	7014	283	載見	283.1	13	烈文辟公	烈 + 文 + 辟 + 公	烈 + 文 + 辟 + 公		公	0 0 0 0	o
6712	7029	285	武	285.1	1	於皇武王	於 + 皇 + 武 + 王	於 + 皇 + 武 + 王		王	0 0 0 0	a
6714	7031	285	武	285.1	3	允文文王	允 + 文 + 文 + 王	允 + 文 + 文 + 王		王	0 0 0 0	a
6718	7035	285	武	285.1	7	耆定爾功	耆 + 定 + 爾 + 功	耆 + 定 + 爾 + 功		功	0 0 0 0	o
6728	7045	286	閔予小子	286.1	10	於乎皇c王	於 + 乎 + 皇 + 王	於 + 乎 + 皇 + 王	286.1.c	王	0 0 0 1647	a
6729	7046	286	閔予小子	286.1	11	繼序思不c忘	繼 + 序 + 思 + 不 + 忘	繼 + 序 + 思 + 不 + 忘	286.1.c	忘	0 0 0 0 1647	a
6741	7058	287	訪落	287.1	12	以保明其身	以 + 保 + 明 + 其 + 身	以 + 保 + 明 + 其 + 身		身	0 0 0 0 0	i
6745	7062	288	敬之	288.1	4	無曰高高在上	無 + 曰 + 高 + 高 + 在 + 上	無 + 曰 + 高 + 高 + 在 + 上		上	0 0 0 0 0 0	a
6750	7067	288	敬之	288.1	9	日就月b將	日 + 就 + 月 + 將	日 + 就 + 月 + 將	288.1.b	將	0 0 0 1651	a
